ticker,name,companyCode,companyName,custodianCode,custodianName,indexTicker,indexName,indexStartDate,managerNames,establishDate,assetal,assetalName,manage,manageName,organizationform,organizationformName,investarea,investareaName,exchangemarket,exchangemarketName,assetalNet,nav,navUnit,navChange,navChange1w,navChange1m,navChange3m,navChange6m,navChange9m,navChangeYtd,navChange1y,navAnnualReturns2y,navAnnualReturns3y,navAnnualReturns5y,navAnnualReturns10y,navBeta3mJSW001,navBeta6mJSW001,navBeta9mJSW001,navBeta1yJSW001,navBeta2yJSW001,navBeta3yJSW001,navBeta5yJSW001,navBeta10yJSW001,navBeta15yJSW001,navBetaYtdJSW001,navBetaAllJSW001,navBeta2007JSW001,navBeta2015JSW001,trackingError,navBeta2008JSW001,navBeta2016JSW001,pctOfFloat,pctOfStock,stkShares,isEnd,pctOfNav
217019,招商深证联接A,80036782,招商基金,80001122,中国银行,'399610,TMT50,2011-06-27,{'30470772': '苏燕青'},2011-06-27,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,2.43,2.1671,人民币,-4.42,-0.22,13.67,15.81,18.22,49.41,10.12,38.16,50.77,12.93,11.67,--,1.09,1.11,1.13,1.22,1.59,1.48,1.33,--,--,--,1.19,--,1.33,0.11,--,1.33,--,--,--,False,--
006930,泰康TMT指数A,80061674,泰康资产,80001067,工商银行,'931026,HKCTMT(港币),2019-04-03,"{'30492893': '刘伟', '30343232': '黄成扬'}",2019-04-03,Stock,股票,EnhancedIndex,增强指数型,OpenEnded,传统开放式,Developed,发达市场配置,Unlisted,未上市,0.31,1.1033,人民币,-2.49,-1.4,15.93,12.59,9.12,22.72,13.19,13.63,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.72,--,--,--,--,--,False,--
515200,申万创新100ETF,80045188,申万菱信,80001120,农业银行,'931159,创新100,2019-10-25,"{'30444835': '王赟杰', '30334725': '龚丽丽'}",2019-10-25,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,3.55,2.0141,人民币,-4.27,2.4,14.53,28.93,35.74,77.67,10.67,83.89,--,--,--,--,1.32,1.27,1.07,1.06,--,--,--,--,--,--,1.04,--,--,0.06,--,--,--,--,--,False,--
159987,银华研发100ETF,80000235,银华基金,80000012,招商证券,'931159,创新100,2019-11-01,{'30598400': '王帅'},2019-11-01,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,1.47,1.7571,人民币,-4.23,2.29,14.11,26.35,28.25,59.28,10.47,62.17,--,--,--,--,1.31,1.28,1.07,1.05,--,--,--,--,--,--,1.03,--,--,0.04,--,--,--,--,--,False,--
007983,申万创新100联接A,80045188,申万菱信,80001120,农业银行,'931159,创新100,2019-11-21,"{'30444835': '王赟杰', '30334725': '龚丽丽'}",2019-11-21,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,1.56,1.8243,人民币,-3.99,2.27,13.56,26.55,32.67,70.86,9.96,77.56,--,--,--,--,1.24,1.19,1.0,0.99,--,--,--,--,--,--,0.96,--,--,0.13,--,--,--,--,--,False,--
007737,诺德创新100指数,80068180,诺德基金,80001067,工商银行,'931159,创新100,2019-08-26,{'30616091': '潘永昌'},2019-08-26,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Domestic,投资境内,Unlisted,未上市,6.35,1.8406,人民币,-4.47,2.25,13.09,26.25,27.9,57.68,9.82,58.84,--,--,--,--,1.35,1.28,1.03,1.01,--,--,--,--,--,--,1.0,--,--,0.17,--,--,--,--,--,False,--
006786,泰康消费指数A,80061674,泰康资产,80001067,工商银行,'931027,HKC大消费(港币),2019-04-09,"{'30492893': '刘伟', '30343232': '黄成扬'}",2019-04-09,Stock,股票,Index,传统指数型,OpenEnded,传统开放式,Developed,发达市场配置,Unlisted,未上市,0.52,1.6332,人民币,-3.35,-2.05,13.61,24.63,37.38,69.48,8.74,63.38,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0.26,--,--,--,--,--,False,--
159803,易基浙江ETF,80000229,易方达基金,80001067,工商银行,'931127,浙江新动能(人民币),2020-04-27,"{'30442978': '刘树荣', '30498715': '杨俊'}",2020-04-27,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SZSE,深交所上市,0.18,1.4339,人民币,-1.51,0.61,12.9,16.69,21.85,42.82,9.62,--,--,--,--,--,0.93,0.91,0.84,--,--,--,--,--,--,--,0.84,--,--,0.06,--,--,--,--,--,False,--
007813,易基动能ETF联接(QDII)A,80000229,易方达基金,80001067,工商银行,'931127,浙江新动能(人民币),2020-04-24,"{'30442978': '刘树荣', '30498715': '杨俊'}",2020-04-24,Stock,股票,Index,传统指数型,ETFFeeder,ETF联接,Domestic,投资境内,Unlisted,未上市,0.08,1.2348,人民币,-1.44,0.57,12.03,15.51,18.94,23.01,8.79,--,--,--,--,--,0.89,0.79,0.49,--,--,--,--,--,--,--,0.49,--,--,0.11,--,--,--,--,--,False,--
512870,杭州湾区ETF,80554846,南华基金,80001122,中国银行,'931033,杭州湾区,2018-12-14,{'30579934': '莫志刚'},2018-12-14,Stock,股票,Index,传统指数型,ETF,ETF,Domestic,投资境内,SHSE,上交所上市,0.74,1.9185,人民币,-3.52,2.37,13.18,20.74,26.59,56.31,10.4,51.12,42.14,--,--,--,1.13,1.16,0.97,1.02,1.08,--,--,--,--,--,1.07,--,--,0.05,--,--,--,--,--,False,--
